TransactionID,TransactionDate,Amount,BankNameSent,BankNameReceived,RemainingBalance,City,Gender,TransactionType,Status,TransactionTime,DeviceType,PaymentMethod,MerchantName,Purpose,CustomerAge,PaymentMode,Currency,CustomerAccountNumber,MerchantAccountNumber
TXN00001,02/02/2024,271.64,SBI Bank,HDFC Bank,5557.02,Delhi,Female,Transfer,Success,05:12:14 PM,Tablet,Phone Number,Amazon,Food,21,Scheduled,USD,123456789013,987654321013
TXN00002,03/03/2024,1064.63,ICICI Bank,SBI Bank,9753.32,Bangalore,Male,Payment,Success,11:15:02 AM,Laptop,QR Code,Zomato,Travel,22,Instant,EUR,123456789014,987654321014
TXN00003,04/04/2024,144.15,Axis Bank,Axis Bank,7597.35,Hyderabad,Female,Transfer,Success,09:29:39 PM,Mobile,UPI ID,Swiggy,Bill Payment,23,Scheduled,GBP,123456789015,987654321015
TXN00004,05/05/2024,612.89,HDFC Bank,ICICI Bank,2327.84,Mumbai,Male,Payment,Success,06:27:36 AM,Tablet,Phone Number,IRCTC,Others,24,Instant,INR,123456789016,987654321016
TXN00005,06/06/2024,743.32,SBI Bank,HDFC Bank,1136.84,Delhi,Female,Transfer,Failed,02:06:22 AM,Laptop,QR Code,Flipkart,Shopping,25,Scheduled,USD,123456789017,987654321017
TXN00006,07/07/2024,665.72,ICICI Bank,SBI Bank,765.1,Bangalore,Male,Payment,Success,10:06:54 AM,Mobile,UPI ID,Amazon,Food,26,Instant,EUR,123456789018,987654321018
TXN00007,08/08/2024,877.72,Axis Bank,Axis Bank,7548.03,Hyderabad,Female,Transfer,Success,09:36:49 AM,Tablet,Phone Number,Zomato,Travel,27,Scheduled,GBP,123456789019,987654321019
TXN00008,09/09/2024,512.54,HDFC Bank,ICICI Bank,6875.7,Mumbai,Male,Payment,Success,01:14:17 AM,Laptop,QR Code,Swiggy,Bill Payment,28,Instant,INR,123456789020,987654321020
TXN00009,10/10/2024,171.02,SBI Bank,HDFC Bank,5705.81,Delhi,Female,Transfer,Success,09:02:48 AM,Mobile,UPI ID,IRCTC,Others,29,Scheduled,USD,123456789021,987654321021
TXN00010,11/11/2024,288.03,ICICI Bank,SBI Bank,4237.42,Bangalore,Male,Payment,Failed,06:03:01 PM,Tablet,Phone Number,Flipkart,Shopping,30,Instant,EUR,123456789022,987654321022
TXN00011,12/12/2024,761.47,Axis Bank,Axis Bank,2.1,Hyderabad,Female,Transfer,Success,05:32:18 PM,Laptop,QR Code,Amazon,Food,31,Scheduled,GBP,123456789023,987654321023
TXN00012,01/13/2024,881.5,HDFC Bank,ICICI Bank,7861.46,Mumbai,Male,Payment,Success,07:14:28 AM,Mobile,UPI ID,Zomato,Travel,32,Instant,INR,123456789024,987654321024
TXN00013,02/14/2024,1202.84,SBI Bank,HDFC Bank,5598.1,Delhi,Female,Transfer,Success,05:51:36 AM,Tablet,Phone Number,Swiggy,Bill Payment,33,Scheduled,USD,123456789025,987654321025
TXN00014,03/15/2024,1959.25,ICICI Bank,SBI Bank,3249.57,Bangalore,Male,Payment,Success,05:59:53 AM,Laptop,QR Code,IRCTC,Others,34,Instant,EUR,123456789026,987654321026
TXN00015,04/16/2024,1057.03,Axis Bank,Axis Bank,2883.52,Hyderabad,Female,Transfer,Failed,12:19:54 AM,Mobile,UPI ID,Flipkart,Shopping,35,Scheduled,GBP,123456789027,987654321027
TXN00016,05/17/2024,445.86,HDFC Bank,ICICI Bank,58.02,Mumbai,Male,Payment,Success,12:58:44 AM,Tablet,Phone Number,Amazon,Food,36,Instant,INR,123456789028,987654321028
TXN00017,06/18/2024,1169.9,SBI Bank,HDFC Bank,8192.47,Delhi,Female,Transfer,Success,02:44:51 AM,Laptop,QR Code,Zomato,Travel,37,Scheduled,USD,123456789029,987654321029
TXN00018,07/19/2024,468.41,ICICI Bank,SBI Bank,8947.62,Bangalore,Male,Payment,Success,04:08:57 AM,Mobile,UPI ID,Swiggy,Bill Payment,38,Instant,EUR,123456789030,987654321030
TXN00019,08/20/2024,1680.49,Axis Bank,Axis Bank,8755.97,Hyderabad,Female,Transfer,Success,05:19:38 PM,Tablet,Phone Number,IRCTC,Others,39,Scheduled,GBP,123456789031,987654321031
TXN00020,09/21/2024,1041.4,HDFC Bank,ICICI Bank,5189.37,Mumbai,M,Payment,Failed,04:48:15 AM,Laptop,QR Code,Flipkart,Shopping,40,Instant,INR,123456789032,987654321032
TXN00021,10/22/2024,82.31,SBI Bank,HDFC Bank,5917.7,Delhi,Female,Transfer,Success,12:29:39 PM,Mobile,UPI ID,Amazon,Food,41,Scheduled,USD,123456789033,987654321033
TXN00022,11/23/2024,352.02,ICICI Bank,SBI Bank,4431.16,Bangalore,m,Payment,Success,09:01:29 AM,Tablet,Phone Number,Zomato,Travel,42,Instant,EUR,123456789034,987654321034
TXN00023,12/24/2024,625.1,Axis Bank,Axis Bank,6280.01,Hyderabad,Female,Transfer,Success,03:52:19 AM,Laptop,QR Code,Swiggy,Bill Payment,43,Scheduled,GBP,123456789035,987654321035
TXN00024,01/25/2024,789.62,HDFC Bank,ICICI Bank,2415.86,Mumbai,Male,Payment,Success,07:18:02 PM,Mobile,UPI ID,IRCTC,Others,44,Instant,INR,123456789036,987654321036
TXN00025,02/26/2024,1912.19,SBI Bank,HDFC Bank,1482.52,Delhi,Female,Transfer,Failed,04:03:35 PM,Tablet,Phone Number,Flipkart,Shopping,45,Scheduled,USD,123456789037,987654321037
TXN00026,03/27/2024,316.76,ICICI Bank,SBI Bank,7736.92,Bangalore,Male,Payment,Success,08:21:35 PM,Laptop,QR Code,Amazon,Food,46,Instant,EUR,123456789038,987654321038
TXN00027,04/28/2024,556.08,Axis Bank,Axis Bank,766.4,Hyderabad,Female,Transfer,Success,09:21:19 AM,Mobile,UPI ID,Zomato,Travel,47,Scheduled,GBP,123456789039,987654321039
TXN00028,05/29/2024,976.21,HDFC Bank,ICICI Bank,7429.94,Mumbai,Male,Payment,Success,02:20:18 AM,Tablet,Phone Number,Swiggy,Bill Payment,48,Instant,INR,123456789040,987654321040
TXN00029,06/30/2024,734.98,SBI Bank,HDFC Bank,4027.72,Delhi,Female,Transfer,Success,03:16:46 PM,Laptop,QR Code,IRCTC,Others,49,Scheduled,USD,123456789041,987654321041
TXN00030,07/01/2024,729.09,ICICI Bank,SBI Bank,44.32,Bangalore,Male,Payment,Failed,07:21:33 PM,Mobile,UPI ID,Flipkart,Shopping,50,Instant,EUR,123456789042,987654321042
TXN00031,08/02/2024,1288.17,Axis Bank,Axis Bank,8662.02,Hyderabad,Female,Transfer,Success,10:26:46 PM,Tablet,Phone Number,Amazon,Food,51,Scheduled,GBP,123456789043,987654321043
TXN00032,09/03/2024,476.89,HDFC Bank,ICICI Bank,5026.58,Mumbai,Male,Payment,Success,10:39:01 PM,Laptop,QR Code,Zomato,Travel,52,Instant,INR,123456789044,987654321044
TXN00033,10/04/2024,240.93,SBI Bank,HDFC Bank,3021.32,Delhi,Female,Transfer,Success,06:55:35 PM,Mobile,UPI ID,Swiggy,Bill Payment,53,Scheduled,USD,123456789045,987654321045
TXN00034,11/05/2024,261.74,ICICI Bank,SBI Bank,6625.38,Bangalore,Male,Payment,Success,07:05:34 PM,Tablet,Phone Number,IRCTC,Others,54,Instant,EUR,123456789046,987654321046
TXN00035,12/06/2024,261.36,Axis Bank,Axis Bank,8879.92,Hyderabad,Female,Transfer,Failed,08:31:30 AM,Laptop,QR Code,Flipkart,Shopping,55,Scheduled,GBP,123456789047,987654321047
TXN00036,01/07/2024,714.35,HDFC Bank,ICICI Bank,9272.72,Mumbai,Male,Payment,Success,02:16:49 AM,Mobile,UPI ID,Amazon,Food,56,Instant,INR,123456789048,987654321048
TXN00037,02/08/2024,783.66,SBI Bank,HDFC Bank,8870.81,Delhi,Female,Transfer,Success,11:28:54 PM,Tablet,Phone Number,Zomato,Travel,57,Scheduled,USD,123456789049,987654321049
TXN00038,03/09/2024,631.61,ICICI Bank,SBI Bank,7100.92,Bangalore,Male,Payment,Success,02:42:10 PM,Laptop,QR Code,Swiggy,Bill Payment,58,Instant,EUR,123456789050,987654321050
TXN00039,04/10/2024,432.82,Axis Bank,Axis Bank,31.99,Hyderabad,Female,Transfer,Success,07:55:18 PM,Mobile,UPI ID,IRCTC,Others,59,Scheduled,GBP,123456789051,987654321051
TXN00040,05/11/2024,1196.32,HDFC Bank,ICICI Bank,7098.38,Mumbai,Male,Payment,Failed,04:59:06 AM,Tablet,Phone Number,Flipkart,Shopping,20,Instant,INR,123456789052,987654321052
TXN00041,06/12/2024,58.41,SBI Bank,HDFC Bank,1134.52,Delhi,Female,Transfer,Success,07:29:40 AM,Laptop,QR Code,Amazon,Food,21,Scheduled,USD,123456789053,987654321053
TXN00042,07/13/2024,1575.41,ICICI Bank,SBI Bank,6857.86,Bangalore,Male,Payment,Success,05:43:54 AM,Mobile,UPI ID,Zomato,Travel,22,Instant,EUR,123456789054,987654321054
TXN00043,08/14/2024,1424.68,Axis Bank,Axis Bank,1945.98,Hyderabad,Female,Transfer,Success,08:23:22 PM,Tablet,Phone Number,Swiggy,Bill Payment,23,Scheduled,GBP,123456789055,987654321055
TXN00044,09/15/2024,40.37,HDFC Bank,ICICI Bank,6332.93,Mumbai,Male,Payment,Success,01:18:37 PM,Laptop,QR Code,IRCTC,Others,24,Instant,INR,123456789056,987654321056
TXN00045,10/16/2024,1237.03,SBI Bank,HDFC Bank,1343.49,Delhi,Female,Transfer,Failed,06:05:36 AM,Mobile,UPI ID,Flipkart,Shopping,25,Scheduled,USD,123456789057,987654321057
TXN00046,11/17/2024,309.54,ICICI Bank,SBI Bank,8161.38,Bangalore,Male,Payment,Success,07:40:52 PM,Tablet,Phone Number,Amazon,Food,26,Instant,EUR,123456789058,987654321058
